"URL","Categoría GSC","Debe indexarse","HTTP actual","HTTP final","Destino actual","Canonical","Meta robots","X-Robots-Tag","En sitemap","Enlaces internos","Clasificación","Acción recomendada","Archivo responsable","Nivel de riesgo","Requiere revisión manual","Observaciones"
"https://bringasinsurance.com/2025/08/05/uvlekatelnye-igry-v-onlaynkazino-pinco-stavki-dostupny-dlya-igrokov-iz-kirgizii/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/08/10/🎲-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-hziilz/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/08/08/oestqe-board-kings-cheats-free-gems-generator-2024-no-verification-new-method/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/07/30/best-tricks-for-free-gems-in-brawl-stars/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/07/30/grab-how-to-play-double-down-casino-on-pc-tutorial-a1xgmli/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/08/06/vivatbet-pelinkauneet-casinolla-verkkossa-suomen-pelajille/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/07/30/boost-your-brawl-stars-with-free-gems-2/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/08/13/wazamba-casino-πλεονεκτήματα-και-μειονεκτήματα/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/08/12/wazamba-casino-greece-παρουσίαση-1f52c27c/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
"https://bringasinsurance.com/2025/08/07/new-jfllkd-bingo-bash-cheats-boost-your-winnings-with-161qiop/feed/","Rastreada: actualmente sin indexar","No","200","200","","No declarada en HTML inicial; SEO client-side solo al renderizar","noindex, nofollow (NotFound.tsx al renderizar)","No observado","No","No","URL spam, hackeada o generada por error","No redirigir a la home; bloquear/eliminar en hosting y devolver 410 cuando se confirme que no existe reemplazo. El 200 actual es un soft 404/fallback SPA.","src/pages/NotFound.tsx + hosting fallback","Alto","No","Verificado HTTP 200; cuerpo coincide con index.html inicial y no con un 404 de servidor."
