"source_url","target_url","status_code","include_subdomains","preserve_query_string","subpath_matching"
"https://bringasinsurance.com/seguros-para-autos-en-seattle-washington","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-para-autos-en-seattle-washington/","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-para-autos-en-seattle-washington","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-para-autos-en-seattle-washington/","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/car-insurance-in-seattle-washington","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/car-insurance-in-seattle-washington/","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/es/car-insurance-in-seattle-washington","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/es/car-insurance-in-seattle-washington/","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/auto-insurance-in-seattle-washington","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/auto-insurance-in-seattle-washington/","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/es/auto-insurance-in-seattle-washington","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/es/auto-insurance-in-seattle-washington/","https://bringasinsurance.com/auto-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-de-hogar-en-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-de-hogar-en-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-de-hogar-en-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-de-hogar-en-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-de-propietarios-en-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-de-propietarios-en-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-de-propietarios-en-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-de-propietarios-en-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/home-insurance-in-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/home-insurance-in-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/home-insurance-in-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/home-insurance-in-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/homeowners-insurance-in-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/homeowners-insurance-in-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/homeowners-insurance-in-seattle-washington","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/homeowners-insurance-in-seattle-washington/","https://bringasinsurance.com/home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguro-para-casas-prefabricadas","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguro-para-casas-prefabricadas/","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguro-para-casas-prefabricadas","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguro-para-casas-prefabricadas/","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguro-para-casas-prefabricadas-en-seattle-washington","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/seguro-para-casas-prefabricadas-en-seattle-washington/","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguro-para-casas-prefabricadas-en-seattle-washington","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguro-para-casas-prefabricadas-en-seattle-washington/","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/mobile-home-insurance-in-seattle-washington","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/mobile-home-insurance-in-seattle-washington/","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/mobile-home-insurance-in-seattle-washington","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/es/mobile-home-insurance-in-seattle-washington/","https://bringasinsurance.com/mobile-home-insurance","301","true","false","false"
"https://bringasinsurance.com/landlord-insurance-in-seattle-washington","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/landlord-insurance-in-seattle-washington/","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/es/landlord-insurance-in-seattle-washington","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/es/landlord-insurance-in-seattle-washington/","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-para-arrendadores-en-seattle-washington","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/seguros-para-arrendadores-en-seattle-washington/","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-para-arrendadores-en-seattle-washington","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
"https://bringasinsurance.com/es/seguros-para-arrendadores-en-seattle-washington/","https://bringasinsurance.com/landlord-insurance","301","true","false","false"
