"source_url","normalized_path","classification","target_url","expected_status","canonical","reason","source","last_crawl","implementation_layer","verified"
"https://bringasinsurance.com/2025/08/05/uvlekatelnye-igry-v-onlaynkazino-pinco-stavki-dostupny-dlya-igrokov-iz-kirgizii/","/2025/08/05/uvlekatelnye-igry-v-onlaynkazino-pinco-stavki-dostupny-dlya-igrokov-iz-kirgizii","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/10/🎲-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-hziilz/feed/","/2025/08/10/🎲-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-hziilz/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/08/oestqe-board-kings-cheats-free-gems-generator-2024-no-verification-new-method/feed/","/2025/08/08/oestqe-board-kings-cheats-free-gems-generator-2024-no-verification-new-method/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/best-tricks-for-free-gems-in-brawl-stars/feed/","/2025/07/30/best-tricks-for-free-gems-in-brawl-stars/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/grab-how-to-play-double-down-casino-on-pc-tutorial-a1xgmli/feed/","/2025/07/30/grab-how-to-play-double-down-casino-on-pc-tutorial-a1xgmli/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/06/vivatbet-pelinkauneet-casinolla-verkkossa-suomen-pelajille/feed/","/2025/08/06/vivatbet-pelinkauneet-casinolla-verkkossa-suomen-pelajille/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/boost-your-brawl-stars-with-free-gems-2/feed/","/2025/07/30/boost-your-brawl-stars-with-free-gems-2/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/13/wazamba-casino-πλεονεκτήματα-και-μειονεκτήματα/feed/","/2025/08/13/wazamba-casino-πλεονεκτήματα-και-μειονεκτήματα/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/12/wazamba-casino-greece-παρουσίαση-1f52c27c/","/2025/08/12/wazamba-casino-greece-παρουσίαση-1f52c27c","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/07/new-jfllkd-bingo-bash-cheats-boost-your-winnings-with-161qiop/feed/","/2025/08/07/new-jfllkd-bingo-bash-cheats-boost-your-winnings-with-161qiop/feed","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/motorcycle-insurance/","/motorcycle-insurance","KEEP_200","","200","https://bringasinsurance.com/motorcycle-insurance","Current indexable canonical route.","GSC: Rastreada: actualmente sin indexar","","origin/application","NO"
"https://bringasinsurance.com/seguro-auto-comercial-en-seattle-washington/","/seguro-auto-comercial-en-seattle-washington","REDIRECT_301","https://bringasinsurance.com/commercial-auto","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/08/07/exclusive-double-down-casino-chips-generator-2025-cki4ywk/","/2025/08/07/exclusive-double-down-casino-chips-generator-2025-cki4ywk","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/szhigm-board-kings-cheats-free-gems-generator-2024-no-verification-new-method/","/2025/07/30/szhigm-board-kings-cheats-free-gems-generator-2024-no-verification-new-method","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/motorcycle-insurance-in-seattle-washington/","/motorcycle-insurance-in-seattle-washington","REDIRECT_301","https://bringasinsurance.com/motorcycle-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/seguros-para-propietarios-de-negocios-en-seattle-washington/","/seguros-para-propietarios-de-negocios-en-seattle-washington","REDIRECT_301","https://bringasinsurance.com/bop-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/07/30/8-ways-to-get-free-dice-dream-rolls-links-2025-ultimate-method-el6xcu/","/2025/07/30/8-ways-to-get-free-dice-dream-rolls-links-2025-ultimate-method-el6xcu","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/🕹️-how-to-get-free-amazon-gift-cards-easily-no-scam-just-rewards-bxtrf5-2/","/2025/07/30/🕹️-how-to-get-free-amazon-gift-cards-easily-no-scam-just-rewards-bxtrf5-2","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/kiy8atxsl/","/2025/07/30/kiy8atxsl","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/?v=70013086896abd56","/","CANONICAL_ALTERNATE","","200","https://bringasinsurance.com/","Query-string duplicate of canonical route.","GSC: Rastreada: actualmente sin indexar","","React SEO canonical","NO"
"https://bringasinsurance.com/seguros-para-autos-en-seattle-washington/","/seguros-para-autos-en-seattle-washington","REDIRECT_301","https://bringasinsurance.com/auto-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/08/04/experience-the-thrill-of-slots-charm-uk-play-toprated-casino-games-online-in-english-for-the-united-kingdom/","/2025/08/04/experience-the-thrill-of-slots-charm-uk-play-toprated-casino-games-online-in-english-for-the-united-kingdom","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/coins-free-cash-frenzy-daily-rewards-latest-3vtm4ot/","/2025/07/30/coins-free-cash-frenzy-daily-rewards-latest-3vtm4ot","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/🎲-taonga-island-quest-rake-in-free-bounty-bling-with-2025-fireafvrmk-8a98cn/","/2025/07/30/🎲-taonga-island-quest-rake-in-free-bounty-bling-with-2025-fireafvrmk-8a98cn","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/v8pwr8l73/","/2025/07/30/v8pwr8l73","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/🎯-taonga-farm-legends-rake-in-free-loot-diamonds-with-2025-firejbzqm0-tjnreu/","/2025/07/30/🎯-taonga-farm-legends-rake-in-free-loot-diamonds-with-2025-firejbzqm0-tjnreu","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/🎲-taonga-the-island-farm-rake-in-free-bounty-bling-with-2025-fire6n1qts-s3gikm/","/2025/07/30/🎲-taonga-the-island-farm-rake-in-free-bounty-bling-with-2025-fire6n1qts-s3gikm","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/seguro-para-vehiculos-recreativos-en-seattle-washington/","/seguro-para-vehiculos-recreativos-en-seattle-washington","REDIRECT_301","https://bringasinsurance.com/rv-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/07/30/🏆-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-hqxrns/","/2025/07/30/🏆-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-hqxrns","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/seguros-de-propietarios-en-seattle-washington/","/seguros-de-propietarios-en-seattle-washington","REDIRECT_301","https://bringasinsurance.com/home-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/landlord-insurance-in-seattle-washington/","/landlord-insurance-in-seattle-washington","REDIRECT_301","https://bringasinsurance.com/landlord-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/personal-umbrella-in-seattle-washington/","/personal-umbrella-in-seattle-washington","REDIRECT_301","https://bringasinsurance.com/personal-umbrella","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/08/10/l2jlland7/","/2025/08/10/l2jlland7","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/commercial-property-insurance-in-seattle-washington/","/commercial-property-insurance-in-seattle-washington","REDIRECT_301","https://bringasinsurance.com/commercial-property","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/best-insurance-agents-in-houston/","/best-insurance-agents-in-houston","REDIRECT_301","https://bringasinsurance.com/about","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/08/10/🏆-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-qlqztw/","/2025/08/10/🏆-🚀-how-to-get-free-coins-in-lightning-link-casino-2025-easy-no-scam-💎-qlqztw","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/08/22/kachay-besplatno-igrovye-sloty-pinup-casino-i-naslazhdaysya-onlayn-igroy-v-kazakhstane/","/2025/08/22/kachay-besplatno-igrovye-sloty-pinup-casino-i-naslazhdaysya-onlayn-igroy-v-kazakhstane","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/?p=4240","/","CANONICAL_ALTERNATE","","200","https://bringasinsurance.com/","Query-string duplicate of canonical route.","GSC: Rastreada: actualmente sin indexar","","React SEO canonical","NO"
"https://bringasinsurance.com/2025/08/20/uvlekatelnye-onlaynigry-v-kazino-ot-sultan-games-dlya-gracias-iz-kazakhstana/","/2025/08/20/uvlekatelnye-onlaynigry-v-kazino-ot-sultan-games-dlya-gracias-iz-kazakhstana","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/?p=4238","/","CANONICAL_ALTERNATE","","200","https://bringasinsurance.com/","Query-string duplicate of canonical route.","GSC: Rastreada: actualmente sin indexar","","React SEO canonical","NO"
"https://bringasinsurance.com/mobile-home-insurance-in-seattle-washington/","/mobile-home-insurance-in-seattle-washington","REDIRECT_301","https://bringasinsurance.com/mobile-home-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/business-owners-insurance-in-seattle-washington/","/business-owners-insurance-in-seattle-washington","REDIRECT_301","https://bringasinsurance.com/bop-insurance","301","","Equivalent migrated content is explicitly mapped.","GSC: Rastreada: actualmente sin indexar","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/08/10/wvhza2ckmr/","/2025/08/10/wvhza2ckmr","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/payments","/payments","REDIRECT_301","https://bringasinsurance.com/pay-my-bill","301","","Equivalent migrated content is explicitly mapped.","LEGACY_REDIRECTS","","Cloudflare redirect","NO"
"https://bringasinsurance.com/2025/07/30/7mhv6kkaa/","/2025/07/30/7mhv6kkaa","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
"https://bringasinsurance.com/2025/07/30/boost-your-brawl-stars-with-free-gems-2/","/2025/07/30/boost-your-brawl-stars-with-free-gems-2","GONE_410","","410","","Retired WordPress, commerce, or injected spam URL.","GSC: Rastreada: actualmente sin indexar","","Cloudflare WAF custom response","NO"
